"Страна","Дата","Заражений","Выздоровлений","Смертей","Заражений за день","Выздоровлений за день","Смертей за день"
Эсватини,24.11.2020,6247,5878,120,14,9,0
Марокко,19.04.2020,2855,327,141,170,13,4
Кипр,29.08.2020,1483,935,20,2,0,0
Украина,25.10.2020,353723,147240,6566,6406,1822,103
Доминика,06.07.2020,18,18,0,0,0,0
Сент-Люсия,05.04.2020,14,1,0,0,0,0
Бруней,11.12.2020,152,147,3,0,0,0
Бутан,10.10.2020,306,287,0,0,5,0
Германия,17.01.2021,2050129,1709540,46901,11484,29061,437
Гвинея-Бисау,01.07.2020,1654,317,24,0,0,0
Нигерия,24.01.2020,0,0,0,0,0,0
Соломоновы острова,22.04.2020,0,0,0,0,0,0
Камбоджа,01.10.2020,278,275,0,1,0,0
США,29.02.2020,25,7,1,8,0,1
Норвегия,30.05.2020,8437,7727,236,15,0,0
Уругвай,06.06.2020,845,726,23,11,5,0
Алжир,01.08.2020,30950,20988,1223,556,451,13
Папский Престол,09.06.2020,12,12,0,0,0,0
Исландия,24.03.2020,648,51,2,60,15,1
Словакия,13.10.2020,20886,6388,61,531,357,0
Монголия,25.01.2020,0,0,0,0,0,0
Россия,07.07.2020,693215,463103,10478,6363,9533,198
Вануату,29.12.2020,1,1,0,0,0,0
Либерия,12.01.2021,1876,1697,84,97,291,1
Лесото,12.06.2020,4,2,0,0,0,0
Иордания,20.07.2020,1223,1028,11,5,4,0
Мальдивы,04.12.2020,13143,12199,47,37,45,0
Мьянма,25.02.2020,0,0,0,0,0,0
Бельгия,04.07.2020,61838,17091,9771,111,18,6
ОАЭ,21.07.2020,57498,49964,341,305,343,1
Чехия,29.09.2020,67843,32759,636,1960,960,18
Сент-Китс и Невис,05.07.2020,16,15,0,0,0,0
Сьерра-Леоне,28.08.2020,2013,1581,70,0,0,0
Эфиопия,21.07.2020,11072,5448,180,865,3018,10
Албания,21.07.2020,4290,2397,117,119,45,4
Micronesia,19.09.2020,0,0,0,0,0,0
Австралия,06.11.2020,27652,25440,907,8,13,0
Шри-Ланка,02.03.2020,1,1,0,0,0,0
Индонезия,20.04.2020,6760,747,590,185,61,8
Танзания,24.10.2020,509,183,21,0,0,0
Фиджи,01.08.2020,27,18,1,0,0,0
Нигер,29.01.2021,4489,3696,159,15,74,2
Лаос,13.10.2020,23,22,0,0,0,0
Индия,21.12.2020,10075116,9636487,146111,19556,30376,301
Мавритания,24.12.2020,13118,9490,301,174,226,4
Монако,28.01.2020,0,0,0,0,0,0
Судно "Diamond Princess",04.04.2020,712,619,11,0,0,0
Болгария,07.05.2020,1829,384,84,51,24,0
Западный берег реки Иордан,04.03.2020,0,0,0,0,0,0
Грузия,30.01.2020,0,0,0,0,0,0
Мали,07.02.2020,0,0,0,0,0,0
Хорватия,18.02.2020,0,0,0,0,0,0
Мальдивы,31.05.2020,1773,453,5,101,47,0
Гамбия,10.02.2020,0,0,0,0,0,0
Австралия,25.04.2020,6694,5376,80,17,240,1
Венесуэла,09.10.2020,81696,73020,684,677,824,6
Нидерланды,12.04.2020,25746,45,2747,1175,4,94
Фиджи,25.01.2020,0,0,0,0,0,0
Индонезия,26.10.2020,392934,317672,13411,3222,3908,112
Шри-Ланка,19.01.2021,54419,46594,273,669,774,3
Малави,15.12.2020,6080,5659,187,10,168,0
Коморские острова,16.10.2020,502,485,7,6,1,0
Нигер,20.03.2020,1,0,0,1,0,0
Барбадос,09.10.2020,204,182,7,1,0,0
Новая Зеландия,26.03.2020,283,27,0,78,5,0
Испания,16.10.2020,936560,150376,33775,15186,0,222
Индия,15.06.2020,343091,180013,9900,10667,10215,380
Болгария,10.11.2020,83366,25799,1851,4390,516,80
Португалия,23.09.2020,70465,46290,1928,802,316,3
Того,07.04.2020,65,23,3,7,0,0
Мали,20.08.2020,2667,1993,125,0,0,0
Западный берег реки Иордан,13.01.2021,149769,134977,1658,801,1378,28
Казахстан,16.09.2020,137058,108097,2003,472,188,38
Мексика,17.07.2020,331298,264202,38310,7257,6521,736
Италия,02.05.2020,209328,79914,28710,1900,1665,474
Хорватия,31.12.2020,210837,198018,3920,2391,1733,60
Камерун,13.09.2020,20167,18837,415,158,0,0
Судан,24.07.2020,11302,5855,715,65,20,7
Бахрейн,29.05.2020,10449,5700,15,397,281,0
Косово и Метохия,06.01.2021,52333,43380,1355,0,0,0
Мадагаскар,04.10.2020,16558,15486,232,29,6,0
Замбия,25.09.2020,14515,13643,332,24,0,0
Киргизия,01.12.2020,73178,64711,1275,0,0,0
Джибути,01.07.2020,4704,4550,55,22,26,1
Гренада,04.08.2020,24,23,0,0,0,0
Сомали,23.12.2020,4690,3605,127,0,0,0
Черногория,09.10.2020,13348,9326,194,344,172,3
Парагвай,24.07.2020,4224,2596,38,111,109,2
Эсватини,13.05.2020,187,48,2,3,20,0
Великобритания,21.12.2020,2079678,4386,67718,33517,11,215
Марокко,31.10.2020,219084,181275,3695,3790,3350,70
Гондурас,19.07.2020,33835,3801,900,1042,140,9
Германия,29.02.2020,79,16,0,31,0,0
Турция,16.05.2020,148067,108137,4096,1610,2004,41
Украина,21.04.2020,6125,367,161,415,8,10
Норвегия,05.12.2020,38073,17998,354,272,0,0
США,17.01.2021,23961423,0,397628,177404,0,1751
Гвинея,29.10.2020,12020,10550,71,201,45,0
Уругвай,18.12.2020,11950,7699,109,514,293,4
Нигерия,29.07.2020,42208,19004,873,404,240,5
Соломоновы острова,28.10.2020,8,4,0,0,0,0
Афганистан,13.08.2020,37422,26714,1365,86,20,9
Алжир,25.01.2020,0,0,0,0,0,0
Папский Престол,15.12.2020,27,15,0,0,0,0
Ангола,22.09.2020,4236,1462,155,119,13,1
Либерия,22.02.2020,0,0,0,0,0,0
Вануату,16.02.2020,0,0,0,0,0,0
Греция,26.11.2020,99306,23074,2001,2018,0,99
Эквадор,19.06.2020,49731,24446,4156,634,323,69
Монголия,01.08.2020,293,230,0,2,0,0
Япония,25.01.2020,2,0,0,0,0,0
Египет,16.10.2020,105159,98089,6099,126,78,11
Сейшельские острова,01.10.2020,144,143,0,0,3,0
Болгария,01.05.2020,1555,276,68,49,10,2
Западный берег реки Иордан,27.02.2020,0,0,0,0,0,0
Судно "Diamond Princess",29.03.2020,712,603,10,0,6,0
Индия,29.11.2020,9431691,8847600,137139,38772,45333,443
Уганда,10.05.2020,121,55,0,5,0,0
Лаос,07.10.2020,23,22,0,0,0,0
Мавритания,06.09.2020,7142,6669,160,8,11,0
Монако,14.02.2020,0,0,0,0,0,0
Грузия,12.02.2020,0,0,0,0,0,0
Хорватия,11.03.2020,19,0,0,5,0,0
Бельгия,10.07.2020,62357,17179,9781,147,20,3
ОАЭ,16.08.2020,64312,57694,364,210,123,3
Чехия,21.10.2020,208915,83136,1739,14969,4028,120
Иордания,24.06.2020,1071,782,9,24,10,0
Мьянма,10.02.2020,0,0,0,0,0,0
Мальдивы,14.12.2020,13379,12731,48,11,25,0
Люксембург,25.05.2020,3993,3781,110,1,14,0
Индонезия,16.05.2020,17025,3911,1089,529,108,13
Шри-Ланка,21.02.2020,1,1,0,0,0,0
Гайана,27.03.2020,5,0,1,0,0,0
Фиджи,07.08.2020,27,18,1,0,0,0
Танзания,28.09.2020,509,183,21,0,0,0
Латвия,22.06.2020,1111,903,30,0,0,0
Албания,16.08.2020,7380,3794,228,120,48,3
Сьерра-Леоне,19.09.2020,2159,1650,72,6,1,0
Эфиопия,16.08.2020,29876,12359,528,982,322,19
Сент-Китс и Невис,29.06.2020,15,15,0,0,0,0
Австралия,16.11.2020,27758,25499,907,9,31,0
Micronesia,28.08.2020,0,0,0,0,0,0
Исландия,03.04.2020,1364,309,4,45,25,0
Папский Престол,30.05.2020,12,2,0,0,0,0
Алжир,07.08.2020,34155,23667,1282,529,429,9
Нигерия,03.02.2020,0,0,0,0,0,0
Соломоновы острова,14.05.2020,0,0,0,0,0,0
Гвинея-Бисау,11.07.2020,1842,773,26,0,0,0
Уругвай,27.05.2020,803,650,22,14,12,0
Норвегия,09.06.2020,8576,8138,239,15,0,0
Камбоджа,11.10.2020,283,278,0,0,1,0
США,23.02.2020,16,5,0,0,0,0
Россия,30.01.2021,3790265,3244856,71556,18751,24205,502
Монголия,31.01.2020,0,0,0,0,0,0
Руанда,19.06.2020,661,351,2,15,1,0
Словакия,07.10.2020,14689,5200,55,877,173,0
Сербия,03.05.2020,9464,1551,193,102,125,4
Либерия,18.01.2021,1896,1707,84,9,6,0
Вануату,24.01.2021,1,1,0,0,0,0
Таиланд,24.09.2020,3519,3360,59,3,7,0
Маврикий,04.09.2020,356,335,10,0,0,0
Гренада,28.01.2020,0,0,0,0,0,0
Кувейт,27.12.2020,149653,145579,931,204,199,2
Киргизия,13.06.2020,2207,1722,27,41,54,1
Франция,28.09.2020,583522,97127,31825,4299,190,84
Колумбия,02.04.2020,1161,55,19,96,16,2
Косово и Метохия,05.03.2020,0,0,0,0,0,0
Судан,08.02.2020,0,0,0,0,0,0
Бахрейн,16.12.2020,89600,87690,349,156,200,1
Сент-Люсия,30.03.2020,9,1,0,0,0,0
Доминика,30.06.2020,18,18,0,0,0,0
Украина,20.11.2020,614986,286386,10929,14834,8196,235
Германия,11.01.2021,1941116,1590171,41799,11706,23264,863
Бутан,04.10.2020,298,237,0,15,7,0
Бруней,19.09.2020,145,142,3,0,1,0
Марокко,11.05.2020,6281,2811,188,218,257,0
Парагвай,08.02.2020,0,0,0,0,0,0
Эсватини,29.10.2020,5899,5542,117,13,0,1
Кипр,20.09.2020,1600,1282,22,10,0,0
Словакия,15.06.2020,1552,1410,28,4,0,0
Эквадор,10.01.2021,221070,190350,14177,721,0,0
Сейшельские острова,01.12.2020,183,162,0,0,0,0
Гвинея-Бисау,16.02.2020,0,0,0,0,0,0
Соломоновы острова,05.09.2020,0,0,0,0,0,0
Уругвай,20.10.2020,2623,2142,52,63,21,1
Камбоджа,18.05.2020,122,122,0,0,0,0
США,14.07.2020,3438038,1049098,137351,68012,17159,928
Норвегия,27.09.2020,13698,11190,270,71,0,0
Папский Престол,23.10.2020,27,15,0,0,0,0
Лесото,06.12.2020,2150,1278,44,0,0,0
Исландия,22.07.2020,1840,1822,10,1,1,0
Руанда,15.03.2020,1,0,0,0,0,0
Алжир,18.03.2020,74,12,7,14,0,3
Сербия,10.10.2020,34685,0,762,168,0,1
Марокко,02.09.2020,65453,50357,1216,1672,1435,32
Кипр,01.05.2020,857,296,15,7,0,0
Сент-Люсия,19.08.2020,26,25,0,0,0,0
Доминика,08.03.2020,0,0,0,0,0,0
Узбекистан,04.01.2021,77258,75437,614,0,0,0
Бутан,12.06.2020,62,19,0,0,0,0
Гондурас,16.01.2021,133507,60056,3348,1095,0,4
Косово и Метохия,23.06.2020,2216,1069,37,47,22,1
Камерун,21.11.2020,23528,22177,435,0,0,0
Маврикий,17.05.2020,332,322,10,0,0,0
Таиланд,06.06.2020,3104,2971,58,2,0,0
Джибути,29.12.2020,5813,5716,61,0,5,0
Бруней,15.06.2020,141,138,2,0,0,0
Киргизия,01.10.2020,46841,42983,1065,172,104,1
Колумбия,21.07.2020,211038,98840,7166,7033,3036,237
Франция,10.06.2020,194815,71952,29322,625,326,21
Уганда,17.10.2020,10455,6901,96,121,0,0
Мексика,14.01.2021,1588369,1185621,137916,16468,8963,999
Казахстан,14.11.2020,159756,139128,2315,903,437,1
Мавритания,02.06.2020,668,55,31,80,28,8
Монако,23.07.2020,114,100,4,2,0,0
Хорватия,03.07.2020,3008,2168,112,96,13,2
Барбадос,25.12.2020,347,292,7,2,1,0
Испания,22.12.2020,1829903,150376,49520,10654,0,260
Лаос,15.06.2020,19,19,0,0,0,0
Грузия,21.07.2020,1049,903,16,10,3,0
Коморские острова,22.12.2020,693,615,7,27,4,0
Того,06.02.2020,0,0,0,0,0,0
Судно "Diamond Princess",18.08.2020,712,651,13,0,0,0
Болгария,20.09.2020,18863,13580,761,44,22,6
Западный берег реки Иордан,18.07.2020,8204,1596,59,440,104,6
Албания,23.03.2020,104,2,4,15,0,2
Сьерра-Леоне,30.04.2020,124,21,7,20,9,3
Эфиопия,23.03.2020,11,4,0,0,0,0
Сент-Китс и Невис,07.03.2020,0,0,0,0,0,0
Венесуэла,25.12.2020,111603,105804,1010,358,325,4
Micronesia,06.05.2020,0,0,0,0,0,0
Мьянма,27.01.2021,138802,123170,3089,434,389,7
Шри-Ланка,16.07.2020,2687,2007,11,16,6,0
Индонезия,03.09.2020,184268,132055,7750,3622,2084,134
Фиджи,18.03.2020,0,0,0,0,0,0
Танзания,10.06.2020,509,183,21,0,0,0
Иордания,06.03.2020,1,0,0,0,0,0
Гайана,01.07.2020,248,116,13,3,2,1
Люксембург,29.08.2020,6625,5942,124,45,33,0
Бельгия,19.02.2020,1,1,0,0,0,0
ОАЭ,23.03.2020,198,38,2,45,0,0
Чехия,01.06.2020,9302,6642,321,34,84,1
Латвия,18.03.2020,71,1,0,22,0,0
Бутан,02.12.2020,415,386,0,1,0,0
Гондурас,24.02.2020,0,0,0,0,0,0
Германия,22.06.2020,191768,175143,8899,496,403,4
Замбия,18.04.2020,57,33,2,5,3,0
Украина,14.09.2020,160679,72091,3273,2557,657,34
Доминика,03.01.2021,88,83,0,0,0,0
Мадагаскар,27.04.2020,128,75,0,4,4,0
Панама,31.10.2020,133598,110552,2700,731,1183,12
Кипр,10.11.2020,6296,1882,29,198,0,1
Эсватини,31.08.2020,4577,3529,91,16,51,0
Парагвай,01.04.2020,69,1,3,4,0,0
Колумбия,11.02.2020,0,0,0,0,0,0
Франция,04.12.2020,2323764,173986,54861,11511,1412,630
Швеция,30.11.2020,243129,0,6681,0,0,0
Маврикий,25.10.2020,435,386,10,0,0,0
Гренада,12.04.2020,14,0,0,0,0,0
Черногория,02.05.2020,322,245,8,0,12,1
Таиланд,08.12.2020,4151,3880,60,25,6,0
Бахрейн,18.10.2020,77902,74320,300,331,479,7
Джибути,13.03.2020,0,0,0,0,0,0
Камерун,20.04.2020,1163,305,42,146,0,0
Турция,23.10.2020,357693,311520,9658,2165,1493,74
Судан,01.04.2020,7,2,2,0,1,0
Сейшельские острова,13.06.2020,11,11,0,0,0,0
Либерия,13.07.2020,1024,439,51,14,16,0
Вануату,11.07.2020,0,0,0,0,0,0
Афганистан,06.03.2020,4,0,0,0,0,0
Словакия,29.11.2020,105733,64197,816,1101,2103,18
Эквадор,01.03.2020,6,0,0,6,0,0
Монголия,09.04.2020,16,4,0,0,0,0
Исландия,10.02.2020,0,0,0,0,0,0
Ангола,18.06.2020,166,64,8,11,0,1
Польша,02.12.2020,1013747,622980,18208,13823,25391,609
Камбоджа,27.12.2020,364,360,0,0,4,0
Египет,09.05.2020,8964,2002,514,488,57,11
Гвинея-Бисау,24.01.2021,2532,2421,45,22,16,0
Нигерия,10.04.2020,305,58,7,17,7,0
Япония,11.01.2021,293746,222807,3898,4928,2427,48
Танзания,04.12.2020,509,183,21,0,0,0
Австралия,18.09.2020,26885,23861,844,24,7,7
Micronesia,05.11.2020,0,0,0,0,0,0
Венесуэла,20.05.2020,824,262,10,75,9,0
Сьерра-Леоне,11.11.2020,2386,1813,74,0,0,0
Сент-Китс и Невис,04.01.2021,33,31,0,0,0,0
Гамбия,27.01.2021,4019,3780,128,7,27,0
Чехия,13.12.2020,579079,504666,9535,3657,1649,85
Нидерланды,17.07.2020,51682,194,6157,110,0,1
Бельгия,21.01.2021,686827,0,20620,2571,0,48
Мальдивы,24.10.2020,11421,10472,37,30,44,0
Иордания,05.01.2021,301303,281020,3940,1472,2091,21
Мали,27.03.2020,11,0,0,7,0,0
Мексика,26.02.2020,0,0,0,0,0,0
Казахстан,27.04.2020,2835,720,25,118,38,0
Португалия,16.04.2020,18841,493,629,750,110,30
Индия,07.10.2020,6835655,5827704,105526,78524,83011,971
Того,26.07.2020,868,599,18,15,12,1
Италия,09.10.2020,343770,237549,36111,5372,1186,28
Коморские острова,23.05.2020,78,18,1,0,0,0
Нигер,13.08.2020,1161,1075,69,0,0,0
Лаос,29.11.2020,39,24,0,0,0,0
Барбадос,20.05.2020,90,70,7,0,2,0
Новая Зеландия,15.08.2020,1622,1531,22,13,0,0
Испания,23.05.2020,235290,150376,28678,466,0,50
Индонезия,13.09.2020,218382,155010,8723,3636,2552,73
Шри-Ланка,20.06.2020,1950,1472,11,0,26,0
Танзания,31.05.2020,509,183,21,0,0,0
Фиджи,09.04.2020,15,0,0,0,0,0
Сент-Китс и Невис,14.02.2020,0,0,0,0,0,0
Сьерра-Леоне,06.05.2020,225,54,14,26,11,3
Эфиопия,02.04.2020,29,3,0,0,1,0
Албания,02.04.2020,277,76,16,18,9,1
Micronesia,30.04.2020,0,0,0,0,0,0
Венесуэла,03.12.2020,103548,98521,909,481,491,4
Мьянма,03.08.2020,355,302,6,2,4,0
Бельгия,12.03.2020,314,1,3,0,0,0
ОАЭ,02.04.2020,1024,96,8,210,35,0
Люксембург,16.12.2020,42845,33920,421,595,434,3
Чехия,07.06.2020,9628,6891,327,61,6,0
Иордания,25.02.2020,0,0,0,0,0,0
Уганда,05.11.2020,13568,7645,117,217,22,0
Хорватия,09.07.2020,3416,2323,115,91,46,1
Казахстан,08.11.2020,155220,136981,2266,899,234,1
Монако,14.01.2021,1145,947,7,17,21,0
Мексика,08.01.2021,1507931,1134877,132069,14362,7406,1038
Грузия,16.01.2021,247025,231385,2916,1236,2189,23
Болгария,29.08.2020,16164,11253,605,99,22,2
Западный берег реки Иордан,26.06.2020,1557,446,3,175,0,0
Судно "Diamond Princess",27.07.2020,712,651,13,0,0,0
Лаос,24.05.2020,19,14,0,0,0,0
Нигер,29.01.2020,0,0,0,0,0,0
Барбадос,03.12.2020,281,257,7,2,2,0
Новая Зеландия,08.02.2020,0,0,0,0,0,0
Испания,26.11.2020,1617355,150376,44374,12289,0,337
Коморские острова,26.11.2020,610,585,7,3,6,0
Кувейт,30.05.2020,26192,10156,205,1008,883,11
Доминика,15.02.2020,0,0,0,0,0,0
Сент-Люсия,28.07.2020,24,22,0,0,0,0
Гондурас,06.01.2021,124899,57348,3192,1077,0,6
Бутан,21.05.2020,21,6,0,0,1,0
Марокко,08.09.2020,75721,57239,1427,1941,1143,33
Узбекистан,10.08.2020,31304,22992,200,695,950,6
Кипр,07.05.2020,889,400,15,6,104,0
Джибути,24.01.2021,5919,5837,61,1,0,0
Таиланд,27.05.2020,3054,2931,57,9,2,0
Маврикий,21.04.2020,328,243,9,0,19,0
Франция,31.05.2020,190975,68473,28805,231,87,31
Колумбия,16.08.2020,468332,287436,15097,11643,13016,287
Киргизия,11.10.2020,49230,44227,1085,306,0,3
Камерун,26.10.2020,21793,20117,426,223,0,1
Косово и Метохия,19.07.2020,5735,2968,135,118,157,5
Сейшельские острова,27.12.2020,205,184,0,0,0,0
Эквадор,20.01.2021,234315,199332,14437,1747,0,55
Словакия,24.05.2020,1509,1301,28,5,21,0
Алжир,09.04.2020,1666,347,235,94,110,30
Исландия,17.08.2020,2014,1888,10,3,8,0
Россия,02.04.2020,3548,235,30,771,45,6
Папский Престол,27.09.2020,12,12,0,0,0,0
Лесото,16.09.2020,1327,687,33,0,0,0
Сербия,27.10.2020,40880,0,798,1053,0,5
Соломоновы острова,11.09.2020,0,0,0,0,0,0
Гвинея-Бисау,13.03.2020,0,0,0,0,0,0
Норвегия,23.10.2020,17532,11863,279,298,0,0
США,22.06.2020,2313093,640198,123301,32147,18065,389
Камбоджа,13.06.2020,128,125,0,2,0,0
Уругвай,24.09.2020,1959,1679,47,13,18,0
Казахстан,03.05.2020,3920,1084,27,63,99,2
Мексика,03.03.2020,5,1,0,0,1,0
Малави,18.05.2020,70,27,3,0,0,0
Мали,06.04.2020,47,9,5,2,8,0
Коморские острова,18.06.2020,210,129,5,13,2,2
Италия,28.10.2020,589766,275404,37905,24988,3416,205
Барбадос,11.06.2020,96,83,7,0,0,0
Новая Зеландия,24.07.2020,1556,1513,22,0,0,0
Испания,18.06.2020,245268,150376,27136,585,0,0
Лаос,21.12.2020,41,37,0,0,1,0
Нигер,03.08.2020,1152,1032,69,5,0,0
Ямайка,30.03.2020,36,2,1,4,0,0
Судно "Diamond Princess",05.02.2020,0,0,0,0,0,0
Того,21.08.2020,1239,891,27,27,13,0
Индия,13.10.2020,7239389,6301927,110586,63509,74632,730
Micronesia,11.11.2020,0,0,0,0,0,0
Австралия,23.08.2020,24915,19233,517,104,473,15
Венесуэла,11.06.2020,2814,487,23,76,0,0
Сент-Китс и Невис,26.01.2021,37,35,0,2,0,0
Сьерра-Леоне,05.11.2020,2371,1805,74,2,0,0
Танзания,14.12.2020,509,183,21,0,0,0
Гамбия,03.08.2020,498,68,9,0,0,0
Мальдивы,28.09.2020,10157,8950,34,59,103,0
Иордания,15.01.2021,312851,295705,4121,808,903,14
Чехия,07.12.2020,546833,478094,8902,0,0,0
Бельгия,30.12.2020,644242,0,19441,2831,0,80
Вануату,01.07.2020,0,0,0,0,0,0
Гвинея,09.05.2020,2042,698,11,33,35,0
Монголия,18.03.2020,6,0,0,1,0,0
Либерия,21.06.2020,626,254,34,25,0,1
Эквадор,20.02.2020,0,0,0,0,0,0
Словакия,21.12.2020,152555,109807,1618,1219,1979,63
Сейшельские острова,18.05.2020,11,11,0,0,1,0
Польша,12.09.2020,73650,59725,2182,603,877,13
Греция,06.06.2020,2980,1374,180,13,0,0
Камбоджа,01.12.2020,329,304,0,3,0,0
Нигерия,15.03.2020,2,0,0,0,0,0
Гвинея-Бисау,29.12.2020,2452,2397,45,5,11,0
Япония,19.08.2020,58728,43786,1148,1092,821,13
Кипр,04.11.2020,5100,1882,27,166,0,0
Канада,06.04.2020,16563,3256,520,807,244,85
Парагвай,26.03.2020,41,0,3,4,0,0
Эсватини,10.09.2020,4994,4103,98,58,26,1
Германия,14.07.2020,200456,185100,9078,276,0,4
Гондурас,05.03.2020,0,0,0,0,0,0
Бутан,24.12.2020,519,438,0,0,0,0
Панама,14.10.2020,122128,97919,2519,832,622,8
Доминика,25.01.2021,113,105,0,0,0,0
Сент-Люсия,04.02.2020,0,0,0,0,0,0
Сомали,26.05.2020,1711,253,67,22,18,1
Украина,04.09.2020,134069,62828,2812,2769,1000,53
Швеция,14.09.2020,86505,0,5846,0,0,0
Камерун,16.05.2020,3105,1567,140,0,0,0
Судан,26.03.2020,3,0,1,0,0,0
Бахрейн,26.09.2020,68775,62252,239,585,777,3
Великобритания,28.05.2020,253854,1167,37039,1736,1,343
Мальта,17.07.2020,674,662,9,0,1,0
Франция,14.12.2020,2435751,183340,58391,3192,655,376
Турция,07.11.2020,391739,336221,10803,2483,1928,81
Таиланд,18.12.2020,4331,4024,60,34,19,0
Гренада,21.03.2020,0,0,0,0,0,0
Маврикий,20.11.2020,494,433,10,0,0,0
Джибути,16.02.2020,0,0,0,0,0,0
Канада,04.09.2020,133141,117755,9206,614,478,1
Румыния,21.06.2020,24045,16911,1512,315,176,12
Багамские острова,15.01.2021,8021,6507,175,10,156,0
Эритрея,12.07.2020,232,107,0,0,0,0
Мадагаскар,31.12.2020,17714,17228,261,0,0,0
Аргентина,19.03.2020,97,3,3,18,0,1
Замбия,07.01.2021,24297,19980,423,802,308,6
Коста-Рика,11.11.2020,119768,73509,1513,1202,568,11
Панама,26.02.2020,0,0,0,0,0,0
Мозамбик,13.05.2020,104,34,0,0,0,0
Никарагуа,14.04.2020,9,4,1,0,0,0
Сомали,08.07.2020,3028,1147,92,13,51,0
Сальвадор,08.06.2020,3104,1379,56,89,74,3
Ирландия,17.06.2020,25341,22698,1710,7,0,1
Швеция,27.03.2020,3363,0,201,365,0,35
Черногория,21.01.2021,56998,47974,762,419,741,4
Великобритания,06.07.2020,287290,1375,40728,359,0,11
Самоа,14.03.2020,0,0,0,0,0,0
Мальта,25.05.2020,611,485,6,1,9,0
Финляндия,14.11.2020,19102,14000,369,244,0,0
Ирак,20.10.2020,434598,366134,10366,3920,2602,49
Турция,02.02.2020,0,0,0,0,0,0
Израиль,20.09.2020,188251,134671,1303,2579,2535,21
Гвинея,02.08.2020,7317,6480,46,9,22,0
Молдавия,09.04.2020,1289,50,29,115,10,2
Афганистан,25.11.2020,45384,36145,1728,210,23,13
Гватемала,02.04.2020,47,12,1,8,0,0
Сент-Винсент и Гренадины,05.02.2020,0,0,0,0,0,0
Экваториальная Гвинея,08.03.2020,0,0,0,0,0,0
Кабо-Верде,01.09.2020,3970,3423,40,86,507,0
Тунис,31.05.2020,1077,960,48,1,10,0
Чад,23.12.2020,1938,1638,102,22,4,0
Польша,29.03.2020,1862,7,22,224,0,4
Кот-д’Ивуар,09.01.2021,23482,22411,139,228,86,0
Греция,27.06.2020,3366,1374,191,23,0,0
Вьетнам,15.08.2020,951,447,24,21,10,2
Чили,22.10.2020,497131,469765,13792,1494,2496,73
Азербайджан,06.09.2020,37329,34705,548,137,140,3
Япония,22.04.2020,12037,1356,323,396,117,20
Египет,28.01.2021,164282,128440,9169,521,477,54
Сан-Томе и Принсипи,21.10.2020,935,898,15,2,0,0
Бенин,09.04.2020,26,5,1,0,0,0
Намибия,23.07.2020,1522,69,7,120,5,0
Венгрия,10.08.2020,4731,3525,605,35,26,3
Эстония,19.12.2020,21219,13488,170,561,566,2
Гамбия,08.05.2020,20,9,1,2,0,0
Южный Судан,04.07.2020,2021,333,38,0,0,0
Республика Конго,15.09.2020,4934,3887,88,0,0,0
Южная Корея,21.06.2020,12438,10881,280,17,13,0
Гана,07.12.2020,52274,51063,325,0,0,0
Буркина-Фасо,09.12.2020,3469,2742,69,0,0,0
Дания,16.10.2020,34939,29036,677,420,433,0
ЮАР,24.10.2020,714246,644641,18944,1834,1118,53
Тринидад и Тобаго,14.09.2020,3141,787,55,99,15,2
Ливан,19.04.2020,673,102,21,1,3,0
Зимбабве,04.04.2020,9,0,1,0,0,0
Габон,13.11.2020,9062,8939,58,14,17,1
Словения,01.10.2020,5865,3906,152,175,102,2
Малави,16.07.2020,2712,1073,51,98,68,8
Бурунди,07.06.2020,83,45,1,0,0,0
Бразилия,11.07.2020,1839850,1244088,71469,39023,26727,1071
Папуа — Новая Гвинея,20.07.2020,19,8,1,3,0,1
Судно "MS Zaandam",27.12.2020,9,7,2,0,0,0
Йемен,16.02.2020,0,0,0,0,0,0
Ботсвана,14.02.2020,0,0,0,0,0,0
Китай,30.07.2020,87956,81120,4666,276,86,1
Северная Македония,25.09.2020,17343,14422,721,143,110,9
Португалия,05.01.2021,436579,349110,7286,4956,4691,90
Таджикистан,25.08.2020,8379,7179,67,33,37,0
Непал,14.02.2020,1,1,0,0,0,0
Армения,29.01.2021,166728,156910,3069,59,265,2
Италия,04.02.2020,2,0,0,0,0,0
Саудовская Аравия,28.03.2020,1203,37,4,99,2,1
Гаити,07.05.2020,101,16,12,1,6,1
Белиз,08.09.2020,1361,321,16,54,7,0
Суринам,19.05.2020,11,9,1,0,0,0
Ливия,22.02.2020,0,0,0,0,0,0
Кения,08.01.2021,97954,80671,1703,221,365,1
Доминиканская Республика,17.09.2020,106136,79363,2022,615,472,13
Сан-Марино,04.04.2020,259,27,32,14,6,2
Ямайка,11.09.2020,3511,1019,40,0,0,0
Тунис,14.12.2020,111361,84741,3894,0,0,0
Сент-Винсент и Гренадины,27.07.2020,52,39,0,0,0,0
Экваториальная Гвинея,03.01.2021,5277,5136,86,0,0,0
Андорра,01.07.2020,855,799,52,0,0,0
Босния и Герцеговина,26.09.2020,26797,19746,820,233,239,12
Боливия,26.09.2020,133592,93406,7828,370,538,28
Оман,13.04.2020,727,124,4,128,15,0
Сингапур,15.08.2020,55661,51521,27,81,472,0
Marshall Islands,12.04.2020,0,0,0,0,0,0
Иран,18.08.2020,347835,300881,19972,2385,1724,168
Россия,31.08.2020,992402,807339,17128,4932,2398,83
Руанда,04.12.2020,6043,5672,51,32,76,1
